job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,min_salary,max_salary,skills_list,avg_salary,salary_clean,revenue_numeric,company_size_numeric
data scientist,senior,on-site,company_044,"Findlay, OH",8 days ago,"Findlay, OH, US",Energy,Public,11610.0,51400000000.0,95265 - 164221,"['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']",95265,164221.0,"['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']",129743.0,95265 - 164221,51400000000.0,11610.0
data scientist,senior,on-site,company_045,"Toronto, Ontario, Canada",6 days ago,"Toronto, ON, CA",Technology,Private,300.0,,85044,"['airflow', 'spark', 'machine learning', 'python']",85044,85044.0,"['airflow', 'spark', 'machine learning', 'python']",85044.0,85044,,300.0
data scientist,senior,,company_046,"San Francisco, CA",3 months ago,"San Francisco, CA, US",Technology,Private,100.0,913330000.0,146141 - 210074,[],146141,210074.0,[],178107.5,146141 - 210074,913330000.0,100.0
data scientist,lead,,company_047,"Bengaluru, Karnataka, India",a month ago,"Bengaluru, KA, IN",Technology,Public,222070.0,24360000000.0,10049,"['deep learning', 'machine learning']",10049,10049.0,"['deep learning', 'machine learning']",10049.0,10049,24360000000.0,222070.0
data scientist,,remote,company_048,"Remote, US",3 months ago,"San Francisco, CA, US",Technology,Private,340.0,1490000000.0,91335 - 109601,[],91335,109601.0,[],100468.0,91335 - 109601,1490000000.0,340.0
data scientist,senior,,company_049,"Huntsville, AL",15 days ago,"Kent, WA, US",Technology,Private,3780.0,,125171 - 175240,"['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']",125171,175240.0,"['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']",150205.5,125171 - 175240,,3780.0
data scientist,senior,,company_050,"San Francisco, CA",8 days ago,"San Francisco, CA, US",Education,Private,807.0,3450000000.0,150707,"['sql', 'machine learning', 'r', 'python']",150707,150707.0,"['sql', 'machine learning', 'r', 'python']",150707.0,150707,3450000000.0,807.0
data scientist,senior,on-site,company_051,"Laurel, MD",a month ago,"Laurel, MD, US",Technology,,8010.0,,210071,['python'],210071,210071.0,['python'],210071.0,210071,,8010.0
machine learning engineer,senior,,company_052,"Amsterdam, North Holland, Netherlands",a month ago,"San Francisco, CA, US",Technology,Public,26950.0,53200000000.0,72515,"['sql', 'machine learning', 'python']",72515,72515.0,"['sql', 'machine learning', 'python']",72515.0,72515,53200000000.0,26950.0
data scientist,lead,on-site,company_054,"Richmond, VA",7 days ago,"Washington, DC, US",Technology,Public,4820.0,29920000000.0,112288,"['machine learning', 'python']",112288,112288.0,"['machine learning', 'python']",112288.0,112288,29920000000.0,4820.0
data scientist,lead,hybrid,company_057,"Seattle, WA",25 days ago,"Seattle, WA, US",Retail,Public,157200.0,,132437,"['r', 'python', 'sql', 'machine learning', 'tableau']",132437,132437.0,"['r', 'python', 'sql', 'machine learning', 'tableau']",132437.0,132437,,157200.0
data scientist,senior,hybrid,company_061,"Manchester, England, United Kingdom",15 days ago,"Manchester, GB",Technology,Public,1320.0,,45669 - 63936,"['spark', 'python', 'airflow', 'sql', 'machine learning']",45669,63936.0,"['spark', 'python', 'airflow', 'sql', 'machine learning']",54802.5,45669 - 63936,,1320.0
data scientist,senior,on-site,company_054,"Richmond, VA",7 days ago,"Washington, DC, US",Technology,Public,4780.0,30070000000.0,112291,"['machine learning', 'python']",112291,112291.0,"['machine learning', 'python']",112291.0,112291,30070000000.0,4780.0
,midlevel,,company_064,"Barcelona, Catalonia, Spain",7 days ago,"Barcelona, CT, ES",Technology,,900.0,,28068,"['git', 'r', 'python', 'linux', 'bash']",28068,28068.0,"['git', 'r', 'python', 'linux', 'bash']",28068.0,28068,,900.0
data scientist,senior,on-site,company_065,"Toronto, Ontario, Canada",3 days ago,"Cherry Hill, NJ, US",Technology,Private,26070.0,,83298 - 124946,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']",83298,124946.0,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']",104122.0,83298 - 124946,,26070.0
data scientist,senior,hybrid,company_066,"Foster City, CA",3 years ago,"Foster City, CA, US",Technology,Private,1790.0,,198201 - 269440,[],198201,269440.0,[],233820.5,198201 - 269440,,1790.0
data scientist,senior,hybrid,company_067,"San Francisco, CA, US",19 days ago,"San Francisco, CA, US",Technology,Public,5260.0,14350000000.0,260211,[],260211,260211.0,[],260211.0,260211,14350000000.0,5260.0
data scientist,lead,,company_069,United States,a month ago,"Chicago, IL, US",Technology,Private,210.0,,114355,"['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']",114355,114355.0,"['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']",114355.0,114355,,210.0
data scientist,midlevel,on-site,company_071,"Cambridge, MA",15 days ago,"Cambridge, MA, US",Technology,Public,9070.0,,144311 - 198198,"['r', 'python', 'sql', 'machine learning', 'tableau']",144311,198198.0,"['r', 'python', 'sql', 'machine learning', 'tableau']",171254.5,144311 - 198198,,9070.0
data scientist,senior,,company_075,"Atlanta, GA",20 days ago,"Atlanta, GA, US",Technology,Public,9030.0,49860000000.0,105035,"['sql', 'machine learning', 'tableau', 'python']",105035,105035.0,"['sql', 'machine learning', 'tableau', 'python']",105035.0,105035,49860000000.0,9030.0
data scientist,senior,remote,company_077,United States,2 months ago,"Phoenix, AZ, US",Technology,Private,60.0,,155272 - 164406,"['sql', 'machine learning', 'tableau', 'python']",155272,164406.0,"['sql', 'machine learning', 'tableau', 'python']",159839.0,155272 - 164406,,60.0
data scientist,senior,on-site,company_078,"San Diego, CA",9 days ago,"San Diego, CA, US",Technology,Public,41020.0,111150000000.0,140661,"['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']",140661,140661.0,"['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']",140661.0,140661,111150000000.0,41020.0
data scientist,senior,hybrid,company_080,"Toronto, Ontario, Canada",8 days ago,"Toronto, ON, CA",Finance,Public,26040.0,,73739,"['machine learning', 'r', 'python']",73739,73739.0,"['machine learning', 'r', 'python']",73739.0,73739,,26040.0
data scientist,senior,hybrid,company_081,"New York, NY",6 days ago,"San Francisco, CA, US",Technology,Public,5050.0,4670000000.0,135178 - 168971,[],135178,168971.0,[],152074.5,135178 - 168971,4670000000.0,5050.0
data scientist,senior,on-site,company_084,On-site,14 days ago,"Cary, NC, US",Technology,Private,990.0,29170000000.0,228515,[],228515,228515.0,[],228515.0,228515,29170000000.0,990.0
data scientist,senior,,company_089,"New York, NY",8 days ago,"Washington, DC, US",Finance,Public,2290.0,,137007 - 159840,"['aws', 'git', 'python', 'sql', 'machine learning']",137007,159840.0,"['aws', 'git', 'python', 'sql', 'machine learning']",148423.5,137007 - 159840,,2290.0
machine learning engineer,senior,,company_049,"Seattle, WA",15 days ago,"Kent, WA, US",Technology,Private,3810.0,,162184 - 227055,"['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']",162184,227055.0,"['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']",194619.5,162184 - 227055,,3810.0
data scientist,senior,hybrid,company_092,"McLean, VA",8 days ago,"Toronto, ON, CA",Technology,Public,24040.0,,92833 - 172402,"['java', 'machine learning', 'r', 'python']",92833,172402.0,"['java', 'machine learning', 'r', 'python']",132617.5,92833 - 172402,,24040.0
data scientist,lead,on-site,company_093,"Seattle, Washington, United States",12 days ago,"Seattle, WA, US",Technology,Private,46.0,,210070 - 228336,[],210070,228336.0,[],219203.0,210070 - 228336,,46.0
data scientist,senior,,company_094,"Warsaw, Mazowieckie, Poland",3 months ago,"Seattle, WA, US",Technology,Private,330.0,913330000.0,67594 - 86774,"['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']",67594,86774.0,"['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']",77184.0,67594 - 86774,913330000.0,330.0
data scientist,senior,on-site,company_095,On-site,3 months ago,"Sunnyvale, CA, US",Technology,Private,5.0,,123307 - 191806,[],123307,191806.0,[],157556.5,123307 - 191806,,5.0
data scientist,senior,on-site,company_096,"San Francisco, California, United States",20 days ago,"San Francisco, CA, US",Finance,Private,950.0,11430000000.0,219199 - 273999,[],219199,273999.0,[],246599.0,219199 - 273999,11430000000.0,950.0
data scientist,,,company_098,"Bangalore, Karnataka",5 months ago,"Bengaluru, KA, IN",Technology,Private,750.0,4930000000.0,41302,[],41302,41302.0,[],41302.0,41302,4930000000.0,750.0
data scientist,senior,hybrid,company_099,"Toronto, Ontario, Canada",7 days ago,"Calgary, AB, CA",Technology,Public,23860.0,27920000000.0,75128 - 79194,"['sql', 'tableau', 'python']",75128,79194.0,"['sql', 'tableau', 'python']",77161.0,75128 - 79194,27920000000.0,23860.0
data scientist,senior,on-site,company_100,"Rock Island, IL",3 months ago,"Hook, GB",Technology,Public,28840.0,,77667 - 129442,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",77667,129442.0,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",103554.5,77667 - 129442,,28840.0
data scientist,midlevel,,company_101,"Cambridge, England, United Kingdom",8 days ago,"Cambridge, GB",Education,,10933.0,,31175,[],31175,31175.0,[],31175.0,31175,,10933.0
data scientist,midlevel,remote,company_103,"Oregon, United States",4 days ago,"Beaverton, OR, US",Manufacturing,Public,99620.0,133030000000.0,19420 - 98368,"['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']",19420,98368.0,"['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']",58894.0,19420 - 98368,133030000000.0,99620.0
machine learning engineer,senior,,company_106,"Pune, Maharashtra, India",4 days ago,"København, DK",Logistics,Private,38090.0,34170000000.0,26757,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26757,26757.0,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26757.0,26757,34170000000.0,38090.0
data scientist,senior,,company_089,"Denver, CO",8 days ago,"Washington, DC, US",Finance,Public,2300.0,,137005 - 159838,"['aws', 'git', 'python', 'sql', 'machine learning']",137005,159838.0,"['aws', 'git', 'python', 'sql', 'machine learning']",148421.5,137005 - 159838,,2300.0
data scientist,senior,on-site,company_112,"San Francisco, California, United States",a month ago,"San Francisco, CA, US",Technology,Private,420.0,5100000000.0,148808,[],148808,148808.0,[],148808.0,148808,5100000000.0,420.0
data scientist,lead,on-site,company_113,"Charlotte, NC",8 days ago,"Mooresville, NC, US",Retail,Public,118910.0,,101935 - 193633,"['sql', 'deep learning', 'machine learning']",101935,193633.0,"['sql', 'deep learning', 'machine learning']",147784.0,101935 - 193633,,118910.0
data scientist,senior,hybrid,company_115,"Bengaluru, Karnataka, India",a month ago,"Frankfurt am Main, HE, DE",Finance,Public,68400.0,,24205,"['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']",24205,24205.0,"['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']",24205.0,24205,,68400.0
data scientist,senior,,company_116,"Chennai, Tamil Nadu, India",2 days ago,"Dearborn, MI, US",Technology,Public,187540.0,51930000000.0,13886,"['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']",13886,13886.0,"['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']",13886.0,13886,51930000000.0,187540.0
data scientist,senior,on-site,company_119,"Menlo Park, CA",15 days ago,"West Menlo Park, CA, US",Finance,Public,3810.0,7940000000.0,163491 - 191804,[],163491,191804.0,[],177647.5,163491 - 191804,7940000000.0,3810.0
data scientist,midlevel,,company_014,"Berkeley, CA",15 days ago,"Berkeley, CA, US",Education,,17451.0,,82193 - 122141,"['machine learning', 'database']",82193,122141.0,"['machine learning', 'database']",102167.0,82193 - 122141,,17451.0
data scientist,senior,remote,company_121,"Remote, United States",a month ago,"San Francisco, CA, US",Technology,Private,1290.0,3170000000.0,134541 - 174088,[],134541,174088.0,[],154314.5,134541 - 174088,3170000000.0,1290.0
data scientist,senior,on-site,company_100,"Rock Island, IL",3 months ago,"Hook, GB",Technology,Public,28810.0,,77671 - 129446,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",77671,129446.0,"['scikit-learn', 'r', 'python', 'java', 'machine learning']",103558.5,77671 - 129446,,28810.0
data scientist,senior,remote,company_067,"San Francisco, CA, US",4 days ago,"San Francisco, CA, US",Technology,Public,5320.0,14200000000.0,306623,[],306623,306623.0,[],306623.0,306623,14200000000.0,5320.0
data scientist,senior,,company_126,United States,15 days ago,"San Francisco, CA, US",Finance,Private,30.0,,28501,[],28501,28501.0,[],28501.0,28501,,30.0
data scientist,senior,remote,company_021,Fully Remote,a day ago,"San Francisco, CA, US",Technology,Public,5550.0,60910000000.0,255732,[],255732,255732.0,[],255732.0,255732,60910000000.0,5550.0
data scientist,,remote,company_129,Fully Remote,8 days ago,"New York, NY, US",Finance,Private,45.0,,91335 - 228333,[],91335,228333.0,[],159834.0,91335 - 228333,,45.0
data scientist,senior,,company_022,"Pittsburgh, PA",7 days ago,"Charlotte, NC, US",Technology,Public,103070.0,128229999999.99998,96819,"['python', 'java', 'sql', 'kubernetes', 'azure']",96819,96819.0,"['python', 'java', 'sql', 'kubernetes', 'azure']",96819.0,96819,128229999999.99998,103070.0
data scientist,senior,on-site,company_134,"Seattle, WA",a month ago,"Seattle, WA, US",Retail,Public,865416.0,832860000000.0,219201,"['amazon', 'r', 'python', 'machine learning', 'deep learning']",219201,219201.0,"['amazon', 'r', 'python', 'machine learning', 'deep learning']",219201.0,219201,832860000000.0,865416.0
machine learning engineer,,on-site,company_135,"Taipei, Taiwan",a day ago,TW,Technology,Private,530.0,,36340,[],36340,36340.0,[],36340.0,36340,,530.0
data scientist,senior,hybrid,company_137,"Denver, CO",a month ago,"Denver, CO, US",Technology,Private,900.0,913330000.0,138833,"['spark', 'r', 'python', 'database', 'machine learning']",138833,138833.0,"['spark', 'r', 'python', 'database', 'machine learning']",138833.0,138833,913330000.0,900.0
data scientist,senior,remote,company_141,"Fort Worth, TX",a month ago,"Bethesda, MD, US",Technology,Public,108670.0,116780000000.0,100470 - 132436,['machine learning'],100470,132436.0,['machine learning'],116453.0,100470 - 132436,116780000000.0,108670.0
data scientist,senior,hybrid,company_145,"Austin, Texas",a day ago,"San Jose, CA, US",Technology,Public,2760.0,,200936,[],200936,200936.0,[],200936.0,200936,,2760.0
data scientist,senior,hybrid,company_146,"Toronto, ON",11 days ago,"San Francisco, CA, US",Finance,Private,780.0,11800000000.0,153442 - 210981,[],153442,210981.0,[],182211.5,153442 - 210981,11800000000.0,780.0
data scientist,senior,,company_148,"Orlando, FL",5 days ago,"Charlotte, NC, US",Finance,Public,14090.0,55900000000.0,88185,"['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']",88185,88185.0,"['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']",88185.0,88185,55900000000.0,14090.0
data scientist,senior,on-site,company_153,United States,15 days ago,"San Jose, CA, US",Technology,Private,900.0,,203676 - 253909,"['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']",203676,253909.0,"['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']",228792.5,203676 - 253909,,900.0
data scientist,lead,remote,company_155,"All, MO",15 days ago,"Chicago, IL, US",Technology,Public,2570.0,,146133 - 182666,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",146133,182666.0,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",164399.5,146133 - 182666,,2570.0
machine learning engineer,,on-site,company_156,"Mountain View, California HQ",8 days ago,"Mountain View, CA, US",Technology,Private,900.0,8100000000.0,138826 - 208239,[],138826,208239.0,[],173532.5,138826 - 208239,8100000000.0,900.0
data scientist,senior,on-site,company_158,"Reston, VA",4 days ago,"Falls Church, VA, US",Technology,Private,21690.0,,167600 - 225989,"['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']",167600,225989.0,"['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']",196794.5,167600 - 225989,,21690.0
data scientist,senior,remote,company_159,Fully Remote,2 months ago,"Roseville, CA, US",Technology,Private,900.0,11410000000.0,133351 - 155271,[],133351,155271.0,[],144311.0,133351 - 155271,11410000000.0,900.0
data scientist,senior,hybrid,company_164,"Redwood City, US, California",2 months ago,"München, BY, DE",Technology,Private,2010.0,12320000000.0,149786 - 195453,[],149786,195453.0,[],172619.5,149786 - 195453,12320000000.0,2010.0
data scientist,senior,on-site,company_166,"Veldhoven, North Brabant, Netherlands",21 days ago,"Veldhoven, NB, NL",Technology,Public,24780.0,173210000000.0,82371,['r'],82371,82371.0,['r'],82371.0,82371,173210000000.0,24780.0
